ИНН;КПП;Название организации;Имя файла;Номер документа;Дата документа;Всего;Валюта;НДС;НДС 10%;НДС 18%;НДС 20%;Дата доставки;Статус документа;Дата тарификации;Дата изменения статуса;Подразделение;ФИО ответственного;Комментарий;Ссылка;Удален
5401359124;425301001;"ООО ""Гринлайт""";УПД №221219/77/0328 от 19.12.22;221219/77/0328;19.12.2022;13 569,69;RUB - Российский рубль;2 261,63;0;0;2 261,63;20.12.2022 20:22;Требуется подпись;;20.12.2022 16:23;Головное подразделение;;;https://diadoc.kontur.ru/09cbf3c9-81c6-4000-bd85-47dad3018c22/Document/Show?letterId=f8cd3d12-5dd3-4f61-95f4-d83bc2743224&documentId=14111dec-28ce-4871-860c-6b1f160bbb96;
5401359124;425301001;"ООО ""Гринлайт""";УПД №221219/05/0007 от 19.12.22;221219/05/0007;19.12.2022;64 465,75;RUB - Российский рубль;10 744,29;0;0;10 744,29;19.12.2022 9:27;Требуется подпись;;19.12.2022 5:39;Головное подразделение;;;https://diadoc.kontur.ru/09cbf3c9-81c6-4000-bd85-47dad3018c22/Document/Show?letterId=90dd9ac8-d957-47fb-8af7-4f2b27dc21b5&documentId=36687d60-2122-429c-9ce5-8d8dd3680977;
5401359124;425301001;"ООО ""Гринлайт""";УПД №221220/39/0470 от 20.12.22;221220/39/0470;20.12.2022;53,34;RUB - Российский рубль;8,89;0;0;8,89;20.12.2022 16:07;Требуется подпись;;20.12.2022 12:09;Головное подразделение;;;https://diadoc.kontur.ru/09cbf3c9-81c6-4000-bd85-47dad3018c22/Document/Show?letterId=3b51b440-d4fd-48b1-abe0-9e584ccd8985&documentId=c3a0ce36-0907-4ab0-82ad-529208d577c2;
5401359124;425301001;"ООО ""Гринлайт""";УПД №221220/18/0001 от 20.12.22;221220/18/0001;20.12.2022;581,79;RUB - Российский рубль;96,97;0;0;96,97;20.12.2022 8:23;Требуется подпись;;20.12.2022 4:42;Головное подразделение;;;https://diadoc.kontur.ru/09cbf3c9-81c6-4000-bd85-47dad3018c22/Document/Show?letterId=cfede6a7-4d80-4488-9667-5e7cfdf1e4b9&documentId=c107dd3c-39d6-409f-8dcc-e52d9b9bf539;
5401359124;425301001;"ООО ""Гринлайт""";УПД №221220/39/0213 от 20.12.22;221220/39/0213;20.12.2022;3 214,62;RUB - Российский рубль;535,77;0;0;535,77;20.12.2022 14:28;Требуется подпись;;20.12.2022 10:29;Головное подразделение;;;https://diadoc.kontur.ru/09cbf3c9-81c6-4000-bd85-47dad3018c22/Document/Show?letterId=078718c2-5253-4429-9cc8-2977b9ae4d68&documentId=991049fc-df28-412f-a972-4721a16a435a;
5401359124;425301001;"ООО ""Гринлайт""";УПД №221221/42/1088 от 21.12.22;221221/42/1088;21.12.2022;18 679,51;RUB - Российский рубль;3 113,26;0;0;3 113,26;22.12.2022 12:24;Требуется подпись;;22.12.2022 8:24;Головное подразделение;;;https://diadoc.kontur.ru/09cbf3c9-81c6-4000-bd85-47dad3018c22/Document/Show?letterId=faecc1d7-ee6f-455d-b287-292516ce9afe&documentId=48aaaac3-bbaf-478f-bb2d-5e4a447a84a2;
5401359124;425301001;"ООО ""Гринлайт""";УПД №221221/13/0732 от 21.12.22;221221/13/0732;21.12.2022;434;RUB - Российский рубль;72,33;0;0;72,33;21.12.2022 18:09;Требуется подпись;;21.12.2022 14:11;Головное подразделение;;;https://diadoc.kontur.ru/09cbf3c9-81c6-4000-bd85-47dad3018c22/Document/Show?letterId=963bdf6b-6057-4c4c-a1f1-8fff89b550ed&documentId=086858ea-1dd1-458d-8970-ed84ee043815;
5401359124;425301001;"ООО ""Гринлайт""";УПД №221221/39/0215 от 21.12.22;221221/39/0215;21.12.2022;7 689,42;RUB - Российский рубль;1 281,57;0;0;1 281,57;21.12.2022 14:24;Требуется подпись;;21.12.2022 10:28;Головное подразделение;;;https://diadoc.kontur.ru/09cbf3c9-81c6-4000-bd85-47dad3018c22/Document/Show?letterId=950c8370-6da2-4884-8cb2-33481b553964&documentId=e7e785ca-bf21-4fdf-84ef-575773b13489;
5401359124;425301001;"ООО ""Гринлайт""";УПД №221222/57/0057 от 22.12.22;221222/57/0057;22.12.2022;756,78;RUB - Российский рубль;126,13;0;0;126,13;22.12.2022 10:28;Требуется подпись;;22.12.2022 6:29;Головное подразделение;;;https://diadoc.kontur.ru/09cbf3c9-81c6-4000-bd85-47dad3018c22/Document/Show?letterId=c9fdce0a-22b7-44af-9154-a4259b690aba&documentId=1f87c116-14f9-4f3a-8c3e-97c5c02405fd;
5401359124;425301001;"ООО ""Гринлайт""";УПД №221223/19/1876 от 23.12.22;221223/19/1876;23.12.2022;15;RUB - Российский рубль;2,5;0;0;2,5;24.12.2022 9:57;Требуется подпись;;24.12.2022 6:10;Головное подразделение;;;https://diadoc.kontur.ru/09cbf3c9-81c6-4000-bd85-47dad3018c22/Document/Show?letterId=91852d97-659c-4e2c-8d90-3332f471c6b8&documentId=7ec72a55-855f-4d60-a92e-7bce9cab16b4;
